crawl_target_id,tag_id,created_at
CT-0001,RG-04-01,2026-07-15T00:00:00Z
CT-0001,AT-07,2026-07-15T00:00:00Z
CT-0002,RG-04-01,2026-07-15T00:00:00Z
CT-0002,AT-09-03,2026-07-15T00:00:00Z
CT-0003,RG-04-01,2026-07-15T00:00:00Z
CT-0003,AT-09-03,2026-07-15T00:00:00Z
CT-0004,RG-04-01,2026-07-15T00:00:00Z
CT-0004,AT-09-03,2026-07-15T00:00:00Z
CT-0005,RG-04-01,2026-07-15T00:00:00Z
CT-0005,AT-09-03,2026-07-15T00:00:00Z
CT-0006,RG-04-01,2026-07-15T00:00:00Z
CT-0006,AT-09-03,2026-07-15T00:00:00Z
CT-0007,RG-03-06,2026-07-15T00:00:00Z
CT-0007,AT-07,2026-07-15T00:00:00Z
CT-0008,RG-03-06,2026-07-15T00:00:00Z
CT-0008,AT-07,2026-07-15T00:00:00Z
CT-0009,RG-03-03,2026-07-15T00:00:00Z
CT-0009,AT-07,2026-07-15T00:00:00Z
CT-0010,RG-03-01,2026-07-15T00:00:00Z
CT-0010,AT-07,2026-07-15T00:00:00Z
CT-0011,RG-03-01,2026-07-15T00:00:00Z
CT-0011,AT-07,2026-07-15T00:00:00Z
CT-0012,RG-01,2026-07-15T00:00:00Z
CT-0012,AT-07,2026-07-15T00:00:00Z
CT-0013,RG-01,2026-07-15T00:00:00Z
CT-0013,AT-07,2026-07-15T00:00:00Z
CT-0014,RG-04-02,2026-07-15T00:00:00Z
CT-0014,AT-09-03,2026-07-15T00:00:00Z
CT-0015,RG-01,2026-07-15T00:00:00Z
CT-0015,AT-07,2026-07-15T00:00:00Z
CT-0016,RG-01,2026-07-15T00:00:00Z
CT-0016,AT-07,2026-07-15T00:00:00Z
CT-0017,RG-04-02,2026-07-15T00:00:00Z
CT-0017,AT-09-03,2026-07-15T00:00:00Z
CT-0018,RG-01,2026-07-15T00:00:00Z
CT-0018,AT-07,2026-07-15T00:00:00Z
CT-0019,RG-01,2026-07-15T00:00:00Z
CT-0019,AT-07,2026-07-15T00:00:00Z
CT-0020,RG-04-02,2026-07-15T00:00:00Z
CT-0020,AT-09-03,2026-07-15T00:00:00Z
CT-0021,RG-04-02,2026-07-15T00:00:00Z
CT-0021,AT-09-03,2026-07-15T00:00:00Z
CT-0022,RG-04-02,2026-07-15T00:00:00Z
CT-0022,AT-09-03,2026-07-15T00:00:00Z
CT-0023,RG-01,2026-07-15T00:00:00Z
CT-0023,AT-07,2026-07-15T00:00:00Z
CT-0024,RG-01,2026-07-15T00:00:00Z
CT-0024,AT-07,2026-07-15T00:00:00Z
CT-0025,RG-01,2026-07-15T00:00:00Z
CT-0025,AT-07,2026-07-15T00:00:00Z
CT-0026,RG-01,2026-07-15T00:00:00Z
CT-0026,AT-07,2026-07-15T00:00:00Z
CT-0027,RG-04-02,2026-07-15T00:00:00Z
CT-0027,AT-09-03,2026-07-15T00:00:00Z
CT-0028,RG-04-01,2026-07-15T00:00:00Z
CT-0028,AT-09-03,2026-07-15T00:00:00Z
CT-0029,RG-01,2026-07-15T00:00:00Z
CT-0029,AT-07,2026-07-15T00:00:00Z
CT-0030,RG-01,2026-07-15T00:00:00Z
CT-0030,AT-07,2026-07-15T00:00:00Z
CT-0031,RG-03-03,2026-07-15T00:00:00Z
CT-0031,AT-07,2026-07-15T00:00:00Z
CT-0032,RG-01,2026-07-15T00:00:00Z
CT-0032,AT-07,2026-07-15T00:00:00Z
