tag_axis,tag_level,tag_major_name,tag_name,tag_id,parent_tag_id
テーマ,大分類,水,水,TH-01,
テーマ,小分類,水,取水規制,TH-01-01,TH-01
テーマ,小分類,水,水ストレス,TH-01-02,TH-01
テーマ,小分類,水,干ばつ,TH-01-03,TH-01
テーマ,小分類,水,洪水,TH-01-04,TH-01
テーマ,小分類,水,水質・汚染,TH-01-05,TH-01
テーマ,小分類,水,排水管理,TH-01-06,TH-01
テーマ,小分類,水,流域管理,TH-01-07,TH-01
テーマ,小分類,水,水アクセス,TH-01-08,TH-01
テーマ,小分類,水,ウォータースチュワードシップ,TH-01-09,TH-01
テーマ,小分類,水,水目標・KPI,TH-01-10,TH-01
テーマ,小分類,水,水リスク評価,TH-01-11,TH-01
テーマ,大分類,気候変動・GHG,気候変動・GHG,TH-02,
テーマ,小分類,気候変動・GHG,Scope1・2,TH-02-01,TH-02
テーマ,小分類,気候変動・GHG,Scope3,TH-02-02,TH-02
テーマ,小分類,気候変動・GHG,排出削減目標,TH-02-03,TH-02
テーマ,小分類,気候変動・GHG,SBT・SBTi,TH-02-04,TH-02
テーマ,小分類,気候変動・GHG,再生可能エネルギー,TH-02-05,TH-02
テーマ,小分類,気候変動・GHG,エネルギー効率,TH-02-06,TH-02
テーマ,小分類,気候変動・GHG,カーボンプライシング,TH-02-07,TH-02
テーマ,小分類,気候変動・GHG,ETS,TH-02-08,TH-02
テーマ,小分類,気候変動・GHG,CBAM,TH-02-09,TH-02
テーマ,小分類,気候変動・GHG,気候移行計画,TH-02-10,TH-02
テーマ,小分類,気候変動・GHG,気候適応,TH-02-11,TH-02
テーマ,小分類,気候変動・GHG,気候技術,TH-02-12,TH-02
テーマ,小分類,気候変動・GHG,気候開示,TH-02-13,TH-02
テーマ,大分類,容器包装,容器包装,TH-03,
テーマ,小分類,容器包装,PPWR,TH-03-01,TH-03
テーマ,小分類,容器包装,EPR,TH-03-02,TH-03
テーマ,小分類,容器包装,DRS,TH-03-03,TH-03
テーマ,小分類,容器包装,リサイクル,TH-03-04,TH-03
テーマ,小分類,容器包装,再生材,TH-03-05,TH-03
テーマ,小分類,容器包装,リユース・リフィル,TH-03-06,TH-03
テーマ,小分類,容器包装,容器削減,TH-03-07,TH-03
テーマ,小分類,容器包装,PET,TH-03-08,TH-03
テーマ,小分類,容器包装,缶・アルミ,TH-03-09,TH-03
テーマ,小分類,容器包装,ガラス,TH-03-10,TH-03
テーマ,小分類,容器包装,紙・紙容器,TH-03-11,TH-03
テーマ,小分類,容器包装,バイオ素材,TH-03-12,TH-03
テーマ,小分類,容器包装,包装表示,TH-03-13,TH-03
テーマ,小分類,容器包装,プラスチック規制,TH-03-14,TH-03
テーマ,小分類,容器包装,容器目標・KPI,TH-03-15,TH-03
テーマ,大分類,原料調達,原料調達,TH-04,
テーマ,小分類,原料調達,持続可能な農業,TH-04-01,TH-04
テーマ,小分類,原料調達,再生農業,TH-04-02,TH-04
テーマ,小分類,原料調達,森林破壊,TH-04-03,TH-04
テーマ,小分類,原料調達,EUDR,TH-04-04,TH-04
テーマ,小分類,原料調達,トレーサビリティ,TH-04-05,TH-04
テーマ,小分類,原料調達,認証,TH-04-06,TH-04
テーマ,小分類,原料調達,農家支援,TH-04-07,TH-04
テーマ,小分類,原料調達,原料価格・供給,TH-04-08,TH-04
テーマ,小分類,原料調達,気候影響,TH-04-09,TH-04
テーマ,小分類,原料調達,土壌,TH-04-10,TH-04
テーマ,小分類,原料調達,農薬・肥料,TH-04-11,TH-04
テーマ,小分類,原料調達,品目別原料,TH-04-12,TH-04
テーマ,小分類,原料調達,調達目標・KPI,TH-04-13,TH-04
テーマ,大分類,生物多様性,生物多様性,TH-05,
テーマ,小分類,生物多様性,TNFD,TH-05-01,TH-05
テーマ,小分類,生物多様性,SBTN,TH-05-02,TH-05
テーマ,小分類,生物多様性,自然資本,TH-05-03,TH-05
テーマ,小分類,生物多様性,生態系保全,TH-05-04,TH-05
テーマ,小分類,生物多様性,保護地域,TH-05-05,TH-05
テーマ,小分類,生物多様性,種・絶滅リスク,TH-05-06,TH-05
テーマ,小分類,生物多様性,自然再生,TH-05-07,TH-05
